sampleID,antigen,FMedianBG_correct,Block,Column,Row
SID_gen18,Buffer_6898,258,36,2,23
SID_gen18,Buffer_6899,1451,36,3,23
SID_gen18,Buffer_6900,441,36,4,23
SID_gen18,Buffer_6901,17802,36,5,23
SID_gen18,Buffer_6902,24955,36,6,23
SID_gen18,Buffer_6905,782,36,1,24
SID_gen18,Buffer_6906,762,36,2,24
SID_gen18,Buffer_6907,876,36,3,24
SID_gen18,Buffer_6908,1004,36,4,24
SID_gen18,Buffer_6909,1739,36,5,24
SID_gen18,Buffer_6910,4107,36,6,24
SID_gen19,Buffer_7086,-111,37,6,22
SID_gen19,Buffer_7087,2131,37,7,22
SID_gen19,Buffer_7088,-155,37,8,22
SID_gen19,Buffer_7094,-69,37,6,23
SID_gen19,Buffer_7095,1685,37,7,23
SID_gen19,Buffer_7096,-140,37,8,23
SID_gen19,Buffer_7102,62,37,6,24
SID_gen19,Buffer_7103,1269,37,7,24
SID_gen19,Buffer_7104,-107,37,8,24
SID_gen19,Buffer_7273,-35,38,1,22
SID_gen19,Buffer_7274,-147,38,2,22
SID_gen19,Buffer_7275,-69,38,3,22
SID_gen19,Buffer_7276,17,38,4,22
SID_gen19,Buffer_7277,9565,38,5,22
SID_gen19,Buffer_7278,13275,38,6,22
SID_gen19,Buffer_7281,-86,38,1,23
SID_gen19,Buffer_7282,-101,38,2,23
SID_gen19,Buffer_7283,0,38,3,23
SID_gen19,Buffer_7284,300,38,4,23
SID_gen19,Buffer_7285,12698,38,5,23
SID_gen19,Buffer_7286,29296,38,6,23
SID_gen19,Buffer_7289,74,38,1,24
SID_gen19,Buffer_7290,-101,38,2,24
SID_gen19,Buffer_7291,42,38,3,24
SID_gen19,Buffer_7292,324,38,4,24
SID_gen19,Buffer_7293,13195,38,5,24
SID_gen19,Buffer_7294,28118,38,6,24
SID_gen20,Buffer_7470,3912,39,6,22
SID_gen20,Buffer_7471,6687,39,7,22
SID_gen20,Buffer_7472,3141,39,8,22
SID_gen20,Buffer_7478,4373,39,6,23
SID_gen20,Buffer_7479,4658,39,7,23
SID_gen20,Buffer_7480,2972,39,8,23
SID_gen20,Buffer_7486,3836,39,6,24
SID_gen20,Buffer_7487,3927,39,7,24
SID_gen20,Buffer_7488,3026,39,8,24
SID_gen20,Buffer_7657,3304,40,1,22
SID_gen20,Buffer_7658,2599,40,2,22
SID_gen20,Buffer_7659,1257,40,3,22
SID_gen20,Buffer_7660,1261,40,4,22
