Block,Column,Row,Name,ID,F635 Median,B635,B635 Median,SNR 635,F635 Median - B635,global_BGMedian,minimum_BGMedian,sample,sampleID,sample_array_ID
2,4,9,MSRP3,1K5,2498,723,723,15.037,1775,897,639,1,S_g1,1
2,5,9,PF13_0125,1M5,908,738,738,3.563,170,897,639,1,S_g1,1
2,6,9,RH5,1I1,1960,775,775,8.797,1185,897,639,1,S_g1,1
2,7,9,SERA4,1O1,9495,846,846,13.589,8649,897,639,1,S_g1,1
2,8,9,AARP,1K3,901,981,981,0.112,-80,897,639,1,S_g1,1
2,1,10,RH1,1M2,7764,748,748,9.128,7016,897,639,1,S_g1,1
2,2,10,MSP3.5,1I4,8484,723,723,4.314,7761,897,639,1,S_g1,1
2,3,10,PFA0210c,1O4,4028,701,701,3.047,3327,897,639,1,S_g1,1
2,4,10,P38,1K6,1712,688,688,9.957,1024,897,639,1,S_g1,1
2,5,10,CLAG3.2,1M6,2626,690,690,17.34,1936,897,639,1,S_g1,1
2,6,10,RH2b,1I2,1991,705,705,7.517,1286,897,639,1,S_g1,1
2,7,10,PFA0445W,1O2,6076,759,759,7.504,5317,897,639,1,S_g1,1
2,8,10,PF3D7_1343700(KELCH),1K4,1033,875,875,0.167,158,897,639,1,S_g1,1
2,1,11,RH1,1M2,8228,741,741,12.53,7487,897,639,1,S_g1,1
2,2,11,MSP3.5,1I4,8132,737,737,3.884,7395,897,639,1,S_g1,1
2,3,11,PFA0210c,1O4,3349,699,699,1.885,2650,897,639,1,S_g1,1
2,4,11,P38,1K6,2363,672,672,8.213,1691,897,639,1,S_g1,1
2,5,11,CLAG3.2,1M6,2829,670,670,7.352,2159,897,639,1,S_g1,1
2,6,11,RH2b,1I2,2130,683,683,4.677,1447,897,639,1,S_g1,1
2,7,11,PFA0445W,1O2,5556,733,733,5.887,4823,897,639,1,S_g1,1
2,8,11,PF3D7_1343700(KELCH),1K4,1009,852,852,1.057,157,897,639,1,S_g1,1
2,1,12,RH1,1M2,8504,720,720,12.379,7784,897,639,1,S_g1,1
2,2,12,MSP3.5,1I4,10122,736,736,8.06,9386,897,639,1,S_g1,1
2,3,12,PFA0210c,1O4,4499,689,689,2.736,3810,897,639,1,S_g1,1
2,4,12,P38,1K6,2372,655,655,5.418,1717,897,639,1,S_g1,1
2,5,12,CLAG3.2,1M6,2816,663,663,4.965,2153,897,639,1,S_g1,1
2,6,12,RH2b,1I2,2219,682,682,4.692,1537,897,639,1,S_g1,1
2,7,12,PFA0445W,1O2,6203,737,737,7.053,5466,897,639,1,S_g1,1
2,8,12,PF3D7_1343700(KELCH),1K4,1091,860,860,1.072,231,897,639,1,S_g1,1
2,1,13,PF3D7_1401600(PHISTB),1.00E+07,9361,674,674,17.796,8687,897,639,1,S_g1,1
2,2,13,PF3D7-1137300,1A9,2788,698,698,5.744,2090,897,639,1,S_g1,1
2,3,13,PF3D7_0830500,1G9,1336,666,666,3.343,670,897,639,1,S_g1,1
2,4,13,PF3D7_1462300,1C11,1780,642,642,26.988,1138,897,639,1,S_g1,1
2,5,13,PF3D7_1229300,1.00E+11,4090,652,652,29.272,3438,897,639,1,S_g1,1
2,6,13,PF3D7_1237900,1A7,658,684,684,-0.258,-26,897,639,1,S_g1,1
2,7,13,PF3D7_1252300,1G7,726,742,742,-0.21,-16,897,639,1,S_g1,1
2,8,13,PF3D7_0629500_SEG1,1C9,1533,878,878,6.583,655,897,639,1,S_g1,1
2,1,14,PF3D7_1401600(PHISTB),1.00E+07,8161,658,658,7.305,7503,897,639,1,S_g1,1
2,2,14,PF3D7-1137300,1A9,3069,673,673,8.429,2396,897,639,1,S_g1,1
2,3,14,PF3D7_0830500,1G9,1431,649,649,5.188,782,897,639,1,S_g1,1
2,4,14,PF3D7_1462300,1C11,1582,639,639,3.44,943,897,639,1,S_g1,1
2,5,14,PF3D7_1229300,1.00E+11,4237,657,657,9.309,3580,897,639,1,S_g1,1
2,6,14,PF3D7_1237900,1A7,674,699,699,1.013,-25,897,639,1,S_g1,1
2,7,14,PF3D7_1252300,1G7,737,767,767,-0.343,-30,897,639,1,S_g1,1
2,8,14,PF3D7_0629500_SEG1,1C9,1777,919,919,8.915,858,897,639,1,S_g1,1
